# time C ID fromHost toHost size ttl
2286.3000 C floating109-2286-42  w42 V0 49993 2147483647
2293.7000 C floating110-2294-77  w77 V0 21343 2147483647
2308.5000 C floating111-2308-29  c29 V0 26811 2147483647
2320.9000 C floating112-2321-64  w64 V0 33836 2147483647
2341.7000 C floating113-2342-43  w43 V0 40659 2147483647
2380.2000 C floating114-2380-126  p126 V0 45448 2147483647
2401.2000 C floating115-2401-108  p108 V0 25219 2147483647
2416.1000 C floating116-2416-78  w78 V0 32716 2147483647
2460.0000 C floating117-2460-17  c17 V0 6936 2147483647
2464.5000 C floating118-2464-31  c31 V0 20685 2147483647
2493.1000 C floating119-2493-88  p88 V0 6324 2147483647
2497.7000 C floating120-2498-45  w45 V0 26347 2147483647
2525.0000 C floating121-2525-32  c32 V0 19310 2147483647
2545.8000 C floating122-2546-11  c11 V0 38942 2147483647
2550.6000 C floating123-2551-74  w74 V0 4810 2147483647
2589.9000 C floating124-2590-104  p104 V0 27254 2147483647
2618.5000 C floating125-2618-106  p106 V0 1035 2147483647
2633.7000 C floating126-2634-109  p109 V0 21273 2147483647
2649.1000 C floating127-2649-90  p90 V0 22358 2147483647
2651.8000 C floating128-2652-120  p120 V0 20272 2147483647
2676.6000 C floating129-2677-35  c35 V0 1554 2147483647
2697.2000 C floating130-2697-56  w56 V0 8030 2147483647
2700.4000 C floating131-2700-91  p91 V0 3184 2147483647
2729.3000 C floating132-2729-80  w80 V0 27472 2147483647
2803.6000 C floating133-2804-34  c34 V0 45947 2147483647
2872.9000 C floating134-2873-53  w53 V0 10746 2147483647
2919.8000 C floating135-2920-13  c13 V0 10797 2147483647
2923.9000 C floating136-2924-122  p122 V0 18288 2147483647
2972.4000 C floating137-2972-58  w58 V0 35184 2147483647
2979.2000 C floating138-2979-38  c38 V0 18224 2147483647
3010.2000 C floating139-3010-60  w60 V0 45337 2147483647
3021.4000 C floating140-3021-65  w65 V0 20894 2147483647
3084.4000 C floating141-3084-14  c14 V0 20398 2147483647
3112.2000 C floating142-3112-105  p105 V0 14679 2147483647
3134.6000 C floating143-3135-76  w76 V0 20056 2147483647
3139.4000 C floating144-3139-62  w62 V0 26990 2147483647
3178.4000 C floating145-3178-1  c1 V0 13814 2147483647
3193.9000 C floating146-3194-27  c27 V0 3061 2147483647
3217.7000 C floating147-3218-83  t83 V0 37162 2147483647
3220.9000 C floating148-3221-72  w72 V0 17121 2147483647
3221.3000 C floating149-3221-7  c7 V0 7700 2147483647
3241.5000 C floating150-3241-107  p107 V0 31391 2147483647
3282.9000 C floating151-3283-123  p123 V0 22560 2147483647
3305.4000 C floating152-3305-0  V0 V0 18649 2147483647
3307.7000 C floating153-3308-3  c3 V0 9521 2147483647
3311.7000 C floating154-3312-112  p112 V0 32132 2147483647
3323.0000 C floating155-3323-59  w59 V0 12220 2147483647
3326.3000 C floating156-3326-48  w48 V0 31926 2147483647
3347.0000 C floating157-3347-85  t85 V0 39238 2147483647
3384.8000 C floating158-3385-87  p87 V0 12107 2147483647
3403.7000 C floating159-3404-125  p125 V0 47395 2147483647
